name	original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
ABDELLAH, ARRAHLI	ABDELLAH	ARRAHLI	ABDELLAH	ARRAHLI	ISGC	A	ARRAHLI A
JOAQUIN, ARREDONDO	JOAQUIN	ARREDONDO	JOAQUIN	ARREDONDO	ISGC	J	ARREDONDO J
JENS, ARTZ	JENS	ARTZ	JENS	ARTZ	ISGC	J	ARTZ J
ALI, ASAFF	ALI	ASAFF	ALI	ASAFF	ISGC	A	ASAFF A
MASAHIRO, ASANO	MASAHIRO	ASANO	MASAHIRO	ASANO	ISGC	M	ASANO M
JUAN ALBERTO, ASCACIO-VALDES	JUAN ALBERTO	ASCACIO-VALDES	JUAN ALBERTO	ASCACIO VALDES	ISGC	JA	ASCACIO-VALDES JA
JUAN ALBERTO, ASCACIO VALDES	JUAN ALBERTO	ASCACIO VALDES	JUAN ALBERTO	ASCACIO VALDES	ISGC	JA	ASCACIO VALDES JA
ASHRAF, ASHMAWY	ASHRAF	ASHMAWY	ASHRAF	ASHMAWY	ISGC	A	ASHMAWY A
MARTTA, ASIKAINEN	MARTTA	ASIKAINEN	MARTTA	ASIKAINEN	ISGC	M	ASIKAINEN M
SOLEDAD GUADALUPE, ASPROMONTE	SOLEDAD GUADALUPE	ASPROMONTE	SOLEDAD GUADALUPE	ASPROMONTE	ISGC	SG	ASPROMONTE SG
SOLEDAD, ASPROMONTE	SOLEDAD	ASPROMONTE	SOLEDAD GUADALUPE	ASPROMONTE	other	S	ASPROMONTE S
ELISABETE M, ASSAF	ELISABETE M	ASSAF	ELISABETE M	ASSAF	ISGC	EM	ASSAF EM
JOSÉ, ASSAF	JOSÉ	ASSAF	JOSE MANSUR	ASSAF	ISGC	J	ASSAF J
JOSÉ M, ASSAF	JOSÉ M	ASSAF	JOSE MANSUR	ASSAF	ISGC	JM	ASSAF JM
JOSÉ MANSUR, ASSAF	JOSÉ MANSUR	ASSAF	JOSE MANSUR	ASSAF	ISGC	JM	ASSAF JM
JOSE MANSUR, ASSAF	JOSE MANSUR	ASSAF	JOSE MANSUR	ASSAF	ISGC	JM	ASSAF JM
AMIR, ASTAFAN	AMIR	ASTAFAN	AMIR	ASTAFAN	ISGC	A	ASTAFAN A
VESSELA, ATANASOVA-PENICHON	VESSELA	ATANASOVA-PENICHON	VESSELA	ATANASOVA PENICHON	ISGC	V	ATANASOVA-PENICHON V
VESSELA, ATANASOVA PENICHON	VESSELA	ATANASOVA PENICHON	VESSELA	ATANASOVA PENICHON	ISGC	V	ATANASOVA PENICHON V
